AcceptedSymbol,SynonymSymbol,ScientificName,CommonName
"CAAT2","","Carex atherodes Spreng.","wheat sedge"
"CAAT3","","Carex athrostachya Olney","slenderbeak sedge"
"CAAT4","","Carex atlantica L.H. Bailey","prickly bog sedge"
"CAAU3","","Carex aurea Nutt.","golden sedge"
"CABA7","","Carex baileyi Britton","Bailey's sedge"
"CABE2","","Carex bebbii Olney ex Fernald","Bebb's sedge"
"CABE3","","Carex bella L.H. Bailey","southwestern showy sedge"
"CABI3","","Carex bicknellii Britton","Bicknell's sedge"
"CABI5","","Carex bigelowii Torr. ex Schwein.","Bigelow's sedge"
"CABL","","Carex blanda Dewey","eastern woodland sedge"
"CABU5","","Carex bushii Mack.","Bush's sedge"
"CACA11","","Carex canescens L.","silvery sedge"
"CACA12","","Carex capillaris L.","hair-like sedge"
"CACE","","Carex cephalophora Muhl. ex Willd.","oval-leaf sedge"
"CACO8","","Carex comosa Boott","longhair sedge"
"CACR6","","Carex crinita Lam.","fringed sedge"
"CACR7","","Carex cristatella Britton","crested sedge"
"CACR8","","Carex crus-corvi Shuttlw. ex Kunze","ravenfoot sedge"
"CADE5","","Carex debilis Michx.","white edge sedge"
"CADE6","","Carex decomposita Muhl.","cypressknee sedge"
"CADE9","","Carex deweyana Schwein.","Dewey sedge"
"CADI4","","Carex diandra Schrank","lesser panicled sedge"
"CADI6","","Carex disperma Dewey","softleaf sedge"
"CADO2","","Carex douglasii Boott","Douglas' sedge"
"CAEC","","Carex echinata Murray","star sedge"
"CAEX4","","Carex exserta Mack.","shorthair sedge"
"CAFI","","Carex filifolia Nutt.","threadleaf sedge"
"CAFL3","","Carex flaccosperma Dewey","thinfruit sedge"
"CAFR3","","Carex frankii Kunth","Frank's sedge"
"CAGE2","","Carex geyeri Boott","Geyer's sedge"
"CAGL5","","Carex glaucescens Elliott","southern waxy sedge"
"CAGR2","","Carex gracillima Schwein.","graceful sedge"
"CAGR3","","Carex granularis Muhl. ex Willd.","limestone meadow sedge"
"CAGR5","","Carex grayi Carey","Gray's sedge"
"CAHA2","","Carex halliana L.H. Bailey","Hall's sedge"
"CAHE7","","Carex hendersonii L.H. Bailey","Henderson's sedge"
"CAHY3","","Carex hyalinolepis Steud.","shoreline sedge"
"CAIN11","","Carex interior L.H. Bailey","inland sedge"
"CAIN12","","Carex intumescens Rudge","greater bladder sedge"
"CAJO2","","Carex joorii L.H. Bailey","cypress swamp sedge"
"CAKO2","","Carex kobomugi Ohwi","Japanese sedge"
"CALA16","","Carex lacustris Willd.","hairy sedge"
"CALE8","","Carex lenticularis Michx.","lakeshore sedge"
"CALEL3","","Carex lenticularis Michx. var. lipocarpa (T. Holm) L.A. Standl.","Kellogg's sedge"
"CALE10","","Carex leptalea Wahlenb.","bristlystalked sedge"
"CALE11","","Carex leptonervia (Fernald) Fernald","nerveless woodland sedge"
"CALI7","","Carex limosa L.","mud sedge"
"CALI","","Carex livida (Wahlenb.) Willd.","livid sedge"
"CALU4","","Carex lupulina Muhl. ex Willd.","hop sedge"
"CALU5","","Carex lurida Wahlenb.","shallow sedge"
"CALU7","","Carex luzulina Olney","woodrush sedge"
"CALY3","","Carex lyngbyei Hornem.","Lyngbye's sedge"
"CAMA13","","Carex mariposana L.H. Bailey ex Mack.","Mariposa sedge"
"CAME6","","Carex mertensii Prescott ex Bong.","Mertens' sedge"
"CAMI7","","Carex microptera Mack.","smallwing sedge"
"CAMO11","","Carex molesta Mack. ex Bright","troublesome sedge"
"CAMU9","","Carex muskingumensis Schwein.","Muskingum sedge"
"CANE2","","Carex nebrascensis Dewey","Nebraska sedge"
"CANO","","Carex normalis Mack.","greater straw sedge"
"CAOB3","","Carex obnupta L.H. Bailey","slough sedge"
"CAPA14","","Carex pachystachya Cham. ex Steud.","chamisso sedge"
"CAPO4","","Carex polymorpha Muhl.","variable sedge"
"CAPR5","","Carex praegracilis W. Boott","clustered field sedge"
"CAPR12","","Carex prasina Wahlenb.","drooping sedge"
"CAPR9","","Carex projecta Mack.","necklace sedge"
"CARA4","","Carex ramenskii Kom.","Ramensk's sedge"
"CARA6","","Carex raynoldsii Dewey","Raynolds' sedge"
"CARO5","","Carex rossii Boott","Ross' sedge"
"CARO6","","Carex rostrata Stokes","beaked sedge"
"CASA10","","Carex saxatilis L.","rock sedge"
"CASC13","","Carex scabrata Schwein.","eastern rough sedge"
"CASC10","","Carex scirpoidea Michx.","northern singlespike sedge"
"CASC11","","Carex scoparia Schkuhr ex Willd.","broom sedge"
"CASC12","","Carex scopulorum T. Holm","mountain sedge"
"CASH2","","Carex shortiana Dewey","Short's sedge"
"CASI2","","Carex simulata Mack.","analogue sedge"
"CASP3","","Carex sparganioides Muhl. ex Willd.","bur-reed sedge"
"CASQ2","","Carex squarrosa L.","squarrose sedge"
"CAST5","","Carex stipata Muhl. ex Willd.","awlfruit sedge"
"CAST6","","Carex straminea Willd. ex Schkuhr","eastern straw sedge"
"CAST8","","Carex stricta Lam.","upright sedge"
"CASU8","","Carex subspathacea Wormsk. ex Hornem.","Hoppner's sedge"
"CATE3","","Carex tenera Dewey","quill sedge"
"CATO4","","Carex torta Boott ex Tuck.","twisted sedge"
"CATR7","","Carex tribuloides Wahlenb.","blunt broom sedge"
"CATR8","","Carex trichocarpa Muhl. ex Willd.","hairyfruit sedge"
"CATR10","","Carex trisperma Dewey","threeseeded sedge"
"CATY","","Carex typhina Michx.","cattail sedge"
"CAUT","","Carex utriculata Boott","Northwest Territory sedge"
"CAVE6","","Carex vesicaria L.","blister sedge"
"CAVI5","","Carex viridula Michx.","little green sedge"
"CAVU2","","Carex vulpinoidea Michx.","fox sedge"
"CAPA23","","Carica papaya L.","papaya"
"CAGI10","CAGI7","Carnegia gigantea (Engelm.) Britton & Rose, orth. var. ","saguaro"
"CAGI10","","Carnegiea gigantea (Engelm.) Britton & Rose","saguaro"
"CAPA53","","Carphephorus paniculatus (J.F. Gmel.) Herb.","hairy chaffhead"
"CACA18","","Carpinus caroliniana Walter","American hornbeam"
"CATO6","CAAL27","Carya alba (L.) Nutt., nom. utique rej.","mockernut hickory"
"CAAQ2","","Carya aquatica (Michx. f.) Nutt.","water hickory"
"CACO15","","Carya cordiformis (Wangenh.) K. Koch","bitternut hickory"
"CAGL8","","Carya glabra (Mill.) Sweet","pignut hickory"
"CAIL2","","Carya illinoinensis (Wangenh.) K. Koch","pecan"
"CALA21","","Carya laciniosa (Michx. f.) G. Don","shellbark hickory"
"CAMY","","Carya myristiciformis (Michx. f.) Nutt.","nutmeg hickory"
"CAOV2","","Carya ovata (Mill.) K. Koch","shagbark hickory"
"CATO6","","Carya tomentosa (Lam.) Nutt.","mockernut hickory"
"CAAR8","","Casearia arborea (Rich.) Urb.","gia verde"
"CATE11","","Cassiope tetragona (L.) D. Don","white arctic mountain heather"
"CADE12","","Castanea dentata (Marshall) Borkh.","American chestnut"
"CAMO83","","Castanea mollissima Blume","Chinese chestnut"
"CAPU9","","Castanea pumila (L.) Mill.","chinquapin"
"CAAN7","","Castilleja angustifolia (Nutt.) G. Don","northwestern Indian paintbrush"
"CAAP4","","Castilleja applegatei Fernald","wavyleaf Indian paintbrush"
"CACO17","","Castilleja coccinea (L.) Spreng.","scarlet Indian paintbrush"
"CAHI9","","Castilleja hispida Benth.","harsh Indian paintbrush"
"CASE5","","Castilleja sessiliflora Pursh","downy paintedcup"
"CACU8","","Casuarina cunninghamiana Miq.","river sheoak"
"CAEQ","","Casuarina equisetifolia L.","beach sheoak"
"CAGL11","","Casuarina glauca Siebold ex Spreng.","gray sheoak"
"CABI8","","Catalpa bignonioides Walter","southern catalpa"
"CASP8","","Catalpa speciosa (Warder) Warder ex Engelm.","northern catalpa"
"CAER2","","Cathestecum erectum Vasey & Hack.","false grama"
"CATH2","","Caulophyllum thalictroides (L.) Michx.","blue cohosh"
"CEFL4","","Ceanothus ×flexilis Greene ex McMinn [cuneatus × prostratus]","flexible ceanothus"
"CEAM","","Ceanothus americanus L.","New Jersey tea"
"CECO","","Ceanothus cordulatus Kellogg","whitethorn ceanothus"
"CECU","","Ceanothus cuneatus (Hook.) Nutt.","buckbrush"
"CEFR","","Ceanothus fresnensis Dudley ex Abrams","Fresno mat"
"CEGR","","Ceanothus greggii A. Gray","desert ceanothus"
"CEIN3","","Ceanothus integerrimus Hook. & Arn.","deerbrush"
"CEME","","Ceanothus megacarpus Nutt.","bigpod ceanothus"
"CEPA2","","Ceanothus papillosus Torr. & A. Gray","wartleaf ceanothus"
"CEPR","","Ceanothus prostratus Benth.","prostrate ceanothus"
"CESA","","Ceanothus sanguineus Pursh","redstem ceanothus"
"CEVE","","Ceanothus velutinus Douglas ex Hook.","snowbrush ceanothus"
"CESC9","","Cecropia schreberiana Miq.","pumpwood"
"CEOD","","Cedrela odorata L.","Spanish cedar"
"CEDE2","","Cedrus deodara (Roxb.) G. Don f.","Deodar cedar"
"CEPE2","","Ceiba pentandra (L.) Gaertn.","kapoktree"
"CEOR7","","Celastrus orbiculatus Thunb.","Oriental bittersweet"
"CESC","","Celastrus scandens L.","American bittersweet"
"CEEH","","Celtis ehrenbergiana (Klotzsch) Liebm.","spiny hackberry"
"CELA","","Celtis laevigata Willd.","sugarberry"
"CELAR","","Celtis laevigata Willd. var. reticulata (Torr.) L.D. Benson","netleaf hackberry"
"CEOC","","Celtis occidentalis L.","common hackberry"
"CEEH","CEPA8","Celtis pallida Torr.","spiny hackberry"
"CEEX","","Centaurium exaltatum (Griseb.) W. Wight ex Piper","desert centaury"
"CEOC2","","Cephalanthus occidentalis L.","common buttonbush"
"CEDE4","","Ceratophyllum demersum L.","coon's tail"
"CECA4","","Cercis canadensis L.","eastern redbud"
"CECAT","","Cercis canadensis L. var. texensis (S. Watson) M. Hopkins","Texas redbud"
"CELE3","","Cercocarpus ledifolius Nutt.","curl-leaf mountain mahogany"
"CEMO2","","Cercocarpus montanus Raf.","alderleaf mountain mahogany"
"CHDO","","Chaenactis douglasii (Hook.) Hook. & Arn.","Douglas' dustymaiden"
"CHJA2","","Chaenomeles japonica (Thunb.) Lindl. ex Spach","Maule's quince"
"CHMI2","","Chamaebatiaria millefolium (Torr.) Maxim.","desert sweet"
"CHFA2","","Chamaecrista fasciculata (Michx.) Greene","partridge pea"
"CHLA","","Chamaecyparis lawsoniana (A. Murray bis) Parl.","Port Orford cedar"
"CANO9","CHNO","Chamaecyparis nootkatensis (D. Don) Spach","Alaska cedar"
"CHTH2","","Chamaecyparis thyoides (L.) Britton, Sterns & Poggenb.","Atlantic white cedar"
"CHCA2","","Chamaedaphne calyculata (L.) Moench","leatherleaf"
"CHANA2","","Chamerion angustifolium (L.) Holub ssp. angustifolium ","fireweed"
"CHLA5","","Chasmanthium latifolium (Michx.) Yates","Indian woodoats"
"CHLA6","","Chasmanthium laxum (L.) Yates","slender woodoats"
"CHSE2","","Chasmanthium sessiliflorum (Poir.) Yates","longleaf woodoats"
"CHRU","","Chenopodium rubrum L.","red goosefoot"
"CHLI2","","Chilopsis linearis (Cav.) Sweet","desert willow"
"CHUM","","Chimaphila umbellata (L.) W.P.C. Barton","pipsissewa"
"CHVI3","","Chionanthus virginicus L.","white fringetree"
"CHGA2","","Chloris gayana Kunth","Rhodes grass"
"CHDU","","Choisya dumosa (Torr.) A. Gray","Mexican orange"
"CHCHC4","","Chrysolepis chrysophylla (Douglas ex Hook.) Hjelmqvist var. chrysophylla ","giant chinquapin"
"CHSE11","","Chrysolepis sempervirens (Kellogg) Hjelmqvist","bush chinquapin"
"CHAR6","","Chrysophyllum argenteum Jacq.","bastard redwood"
"CHVI8","","Chrysothamnus viscidiflorus (Hook.) Nutt.","yellow rabbitbrush"
"CICH","","Cibotium chamissoi Kaulf.","Chamisso's manfern"
"CIGL","","Cibotium glaucum (Sm.) Hook. & Arn.","hapu'u"
"CIIN","","Cichorium intybus L.","chicory"
"CIDO","","Cicuta douglasii (DC.) J.M. Coult. & Rose","western water hemlock"
"CIAR2","","Cinna arundinacea L.","sweet woodreed"
"CILA2","","Cinna latifolia (Trevis. ex Goepp.) Griseb.","drooping woodreed"
"CIAL","","Circaea alpina L.","small enchanter's nightshade"
"CIFO","","Cirsium foliosum (Hook.) DC.","elk thistle"
"CISP3","CIFR","Citharexylum fruticosum L.","spiny fiddlewood"
"CISP3","","Citharexylum spinosum L.","spiny fiddlewood"
"CIPA3","","Citrus ×paradisi Macfad. (pro sp.) [maxima × sinensis]","grapefruit"
"CISI3","","Citrus ×sinensis (L.) Osbeck (pro sp.) [maxima × reticulata]","sweet orange"
"CISI3","CISI","Citrus sinensis (L.) Osbeck, database artifact","sweet orange"
"CLMAJ","","Cladium mariscus (L.) Pohl ssp. jamaicense (Crantz) Kük.","Jamaica swamp sawgrass"
"CLKE","","Cladrastis kentukea (Dum. Cours.) Rudd","Kentucky yellowwood"
"CLGR","","Clarkia gracilis (Piper) A. Nelson & J.F. Macbr.","slender clarkia"
"CLPU","","Clarkia pulchella Pursh","pinkfairies"
"CLPE","","Claytonia perfoliata Donn ex Willd.","miner's lettuce"
"CLSIS","","Claytonia sibirica L. var. sibirica ","Siberian springbeauty"
"CLLI2","","Clematis ligusticifolia Nutt.","western white clematis"
"CLVI5","","Clematis virginiana L.","devil's darning needles"
"CLIS","","Cleome isomeris Greene","bladderpod spiderflower"
"CLLU2","","Cleome lutea Hook.","yellow spiderflower"
"CLPL","","Cleome platycarpa Torr.","golden spiderflower"
"CLSE","","Cleome serrulata Pursh","Rocky Mountain beeplant"
"CLAL3","","Clethra alnifolia L.","coastal sweetpepperbush"
"CLBO3","","Clintonia borealis (Aiton) Raf.","bluebead"
"CODI8","","Coccoloba diversifolia Jacq.","tietongue"
"COPU","","Coccoloba pubescens L.","grandleaf seagrape"
"COSW","","Coccoloba swartzii Meisn.","Swartz's pigeonplum"
"COUV","","Coccoloba uvifera (L.) L.","seagrape"
"CONU","","Cocos nucifera L.","coconut palm"
"COCY","","Coelorachis cylindrica (Michx.) Nash","cylinder jointtail grass"
"CORU3","","Coelorachis rugosa (Nutt.) Nash","wrinkled jointtail grass"
"COAR2","","Coffea arabica L.","Arabian coffee"
"COAR9","","Cojoba arborea (L.) Britton & Rose","wild tamarind"
"CORA","","Coleogyne ramosissima Torr.","blackbrush"
"COPA3","","Collinsia parviflora Lindl.","maiden blue eyed Mary"
"COEL2","","Colubrina elliptica (Sw.) Briz. & Stern","soldierwood"
"COAR6","","Colutea arborescens L.","bladder senna"
"CODI5","","Commelina diffusa Burm. f.","climbing dayflower"
"COVI3","","Commelina virginica L.","Virginia dayflower"
"COPE80","","Comptonia peregrina (L.) J.M. Coult.","sweet fern"
"COCO13","","Conoclinium coelestinum (L.) DC.","blue mistflower"
"COMA7","","Convallaria majalis L.","European lily of the valley"
"COCA5","","Conyza canadensis (L.) Cronquist","Canadian horseweed"
"COAL","","Cordia alliodora (Ruiz & Pav.) Oken","Spanish elm"
"COLA12","","Cordia laevigata Lam.","smooth manjack"
"COLA12","CONI","Cordia nitida Vahl ex West","smooth manjack"
"COSU2","","Cordia subcordata Lam.","kou"
"COMA5","","Cordylanthus maritimus Nutt. ex Benth.","saltmarsh bird's-beak"
"CORA5","","Cordylanthus ramosus Nutt. ex Benth.","bushy bird's beak"
"COFR2","","Cordyline fruticosa (L.) A. Chev","tiplant"
"COLA5","","Coreopsis lanceolata L.","lanceleaf tickseed"
"COTI3","","Coreopsis tinctoria Nutt.","golden tickseed"
"COAL2","","Cornus alternifolia L. f.","alternateleaf dogwood"
"COAM2","","Cornus amomum Mill.","silky dogwood"
"COCA13","","Cornus canadensis L.","bunchberry dogwood"
"CODR","","Cornus drummondii C.A. Mey.","roughleaf dogwood"
"COFL2","","Cornus florida L.","flowering dogwood"
"COFO","","Cornus foemina Mill.","stiff dogwood"
"COMA21","","Cornus mas L.","Cornelian cherry"
"CONU4","","Cornus nuttallii Audubon ex Torr. & A. Gray","Pacific dogwood"
"CORA6","","Cornus racemosa Lam.","gray dogwood"
"CORU","","Cornus rugosa Lam.","roundleaf dogwood"
"COSEO","","Cornus sericea L. ssp. occidentalis (Torr. & A. Gray) Fosberg","western dogwood"
"COSES","","Cornus sericea L. ssp. sericea ","redosier dogwood"
"SEVA4","COVA2","Coronilla varia L.","crownvetch"
"COSE4","","Cortaderia selloana (Schult. & Schult. f.) Asch. & Graebn.","Uruguayan pampas grass"
"COCA15","","Corydalis caseana A. Gray","Sierra fumewort"
"COFL3","","Corydalis flavula (Raf.) DC.","yellow fumewort"
"COAM3","","Corylus americana Walter","American hazelnut"
"COCO6","","Corylus cornuta Marshall","beaked hazelnut"
"COCOC","","Corylus cornuta Marshall var. californica (A. DC.) Sharp","California hazelnut"
"COAC2","","Cotoneaster acutifolius Turcz.","Peking cotoneaster"
"COAP3","","Cotoneaster apiculatus Rehder & E.H. Wilson","cranberry cotoneaster"
"COHO80","","Cotoneaster horizontalis Decne.","rockspray cotoneaster"
"COIN16","","Cotoneaster integerrimus Medik.","cotoneaster"
"COSA4","","Cotoneaster salicifolius Franch.","cotoneaster"
"CRAN6","","Crataegus ×anomala Sarg. (pro sp.) [intricata × mollis]","Arnold hawthorn"
"CRAE","","Crataegus aestivalis (Walter) Torr. & A. Gray","may hawthorn"
"CRCR2","","Crataegus crus-galli L.","cockspur hawthorn"
"CRDO2","","Crataegus douglasii Lindl.","black hawthorn"
"CRER","","Crataegus erythropoda Ashe","cerro hawthorn"
"CRMA5","","Crataegus marshallii Eggl.","parsley hawthorn"
"CRMO3","","Crataegus monogyna Jacq.","oneseed hawthorn"
"CRPH","","Crataegus phaenopyrum (L. f.) Medik.","Washington hawthorn"
"CRVI2","","Crataegus viridis L.","green hawthorn"
"CRAC2","","Crepis acuminata Nutt.","tapertip hawksbeard"
"CRMO4","","Crepis modocensis Greene","Modoc hawksbeard"
"CROC","","Crepis occidentalis Nutt.","largeflower hawksbeard"
"CRRU3","","Crepis runcinata (James) Torr. & A. Gray","fiddleleaf hawksbeard"
"CRCU","","Crescentia cujete L.","common calabash tree"
"CRLI5","","Crescentia linearifolia Miers","higuerito"
"CRPO6","","Crescentia portoricensis Britton","higuero de sierra"
"CRTR5","","Cressa truxillensis Kunth","spreading alkaliweed"
"CRJU","","Crotalaria juncea L.","sunn hemp"
"CRSP2","","Crotalaria spectabilis Roth","showy rattlebox"
"CRJA3","","Cryptomeria japonica (L. f.) D. Don","Japanese cedar"
"CUFO","","Cucurbita foetidissima Kunth","Missouri gourd"
"CUAM","","Cupania americana L.","wild ackee"
"HEAR22","CUAR","Cupressus arizonica Greene","Arizona cypress"
"CYAR","","Cyathea arborea (L.) Sm.","West Indian treefern"
"CYOB2","","Cydonia oblonga Mill.","quince"
"CYDA","","Cynodon dactylon (L.) Pers.","Bermudagrass"
"CYAC2","","Cyperus acuminatus Torr. & Hook. ex Torr.","tapertip flatsedge"
"CYBI6","","Cyperus bipartitus Torr.","slender flatsedge"
"CYCO","","Cyperus compressus L.","poorland flatsedge"
"CYER2","","Cyperus erythrorhizos Muhl.","redroot flatsedge"
"CYES","","Cyperus esculentus L.","yellow nutsedge"
"CYFL","","Cyperus flavescens L.","yellow flatsedge"
"CYHA","","Cyperus haspan L.","haspan flatsedge"
"CYLA3","","Cyperus lancastriensis Porter ex A. Gray","manyflower flatsedge"
"CYOD","","Cyperus odoratus L.","fragrant flatsedge"
"CYPO","","Cyperus polystachyos Rottb.","manyspike flatsedge"
"CYPS","","Cyperus pseudovegetus Steud.","marsh flatsedge"
"CYST","","Cyperus strigosus L.","strawcolored flatsedge"
"CYRA","","Cyrilla racemiflora L.","swamp titi"
"CYSC4","","Cytisus scoparius (L.) Link","Scotch broom"
"DAEX","","Dacryodes excelsa Vahl","candletree"
"DAGL","","Dactylis glomerata L.","orchardgrass"
"DACAC","","Dalea candida Michx. ex Willd. var. candida ","white prairie clover"
"DAFO","","Dalea formosa Torr.","featherplume"
"DAPUP","","Dalea purpurea Vent. var. purpurea ","purple prairie clover"
"DACA12","","Damasonium californicum Torr. ex Benth.","California damsonium"
"DACA3","","Danthonia californica Bol.","California oatgrass"
"DACO","","Danthonia compressa Austin","flattened oatgrass"
"DAIN","","Danthonia intermedia Vasey","timber oatgrass"
"DAUN","","Danthonia unispicata (Thurb.) Munro ex Macoun","onespike danthonia"
"DAFRF","DAFL3","Dasiphora floribunda (Pursh) Raf.","shrubby cinquefoil"
"DAFRF","","Dasiphora fruticosa (L.) Rydb. ssp. floribunda (Pursh) Kartesz","shrubby cinquefoil"
"DAWH2","","Dasylirion wheeleri S. Watson","common sotol"
"DEVE","","Decodon verticillatus (L.) Elliott","swamp loosestrife"
"DERE","","Delonix regia (Bojer ex Hook.) Raf.","royal poinciana"
"DEAN","","Delphinium andersonii A. Gray","Anderson's larkspur"
"DEGL3","","Delphinium glaucum S. Watson","Sierra larkspur"
"DEBE2","","Deschampsia beringensis Hultén","Bering's tufted hairgrass"
"DECE","DECA18","Deschampsia caespitosa (L.) P. Beauv., orth. var. ","tufted hairgrass"
"DECE","","Deschampsia cespitosa (L.) P. Beauv.","tufted hairgrass"
"DEDA","","Deschampsia danthonioides (Trin.) Munro","annual hairgrass"
"DEEL","","Deschampsia elongata (Hook.) Munro","slender hairgrass"
"DEFL","","Deschampsia flexuosa (L.) Trin.","wavy hairgrass"
"DEIL","","Desmanthus illinoensis (Michx.) MacMill. ex B.L. Rob. & Fernald","Illinois bundleflower"
"DEVI3","","Desmanthus virgatus (L.) Willd.","wild tantan"
"DEHE9","","Desmodium heterophyllum (Willd.) DC.","variable-leaf ticktrefoil"
"DEIN3","","Desmodium incanum DC.","zarzabacoa comun"
"DEIN2","","Desmodium intortum (Mill.) Urb.","greenleaf ticktrefoil"
"DEPA6","","Desmodium paniculatum (L.) DC.","panicledleaf ticktrefoil"
"DEPE80","","Desmodium perplexum B.G. Schub.","perplexed ticktrefoil"
"DETO","","Desmodium tortuosum (Sw.) DC.","dixie ticktrefoil"
"DETR4","","Desmodium triflorum (L.) DC.","threeflower ticktrefoil"
"DEGR3","","Deutzia gracilis Siebold & Zucc.","slender pride of Rochester"
"DIFO","","Dicentra formosa (Haw.) Walp.","Pacific bleeding heart"
"DIAC","","Dichanthelium aciculare (Desv. ex Poir.) Gould & C.A. Clark","needleleaf rosette grass"
"DICL","","Dichanthelium clandestinum (L.) Gould","deertongue"
"DICO2","","Dichanthelium commutatum (Schult.) Gould","variable panicgrass"
"DILA8","","Dichanthelium latifolium (L.) Gould & C.A. Clark","broadleaf rosette grass"
"DIOV","","Dichanthelium ovale (Elliott) Gould & C.A. Clark","eggleaf rosette grass"
"DISC2","","Dichanthelium scabriusculum (Elliott) Gould & C.A. Clark","woolly rosette grass"
"DISC3","","Dichanthelium scoparium (Lam.) Gould","velvet panicum"
"DIAN","","Dichanthium annulatum (Forssk.) Stapf","Kleberg's bluestem"
"DIAR5","","Dichanthium aristatum (Poir.) C.E. Hubbard","Angleton bluestem"
"DILO","","Diervilla lonicera Mill.","northern bush honeysuckle"
"DIPU","","Digitalis purpurea L.","purple foxglove"
"DICA8","","Digitaria californica (Benth.) Henr.","Arizona cottontop"
"DICI","","Digitaria ciliaris (Retz.) Koeler","southern crabgrass"
"DIER","","Digitaria eriantha Steud.","digitgrass"
"DIVI5","","Diospyros virginiana L.","common persimmon"
"DISP","","Distichlis spicata (L.) Greene","saltgrass"
"DIFR6","","Ditrysinia fruticosa (W. Bartram) Govaerts & Frodin","Gulf Sebastian-bush"
"DOME","","Dodecatheon meadia L.","pride of Ohio"
"DOPU","","Dodecatheon pulchellum (Raf.) Merr.","darkthroat shootingstar"
"DOVI","","Dodonaea viscosa (L.) Jacq.","Florida hopbush"
"DOLA","","Douglasia laevigata A. Gray","cliff dwarf-primrose"
"DOBI","","Downingia bicornuta A. Gray","doublehorn calicoflower"
"DOLA2","","Downingia laeta (Greene) Greene","Great Basin calicoflower"
"DRFR2","","Dracaena fragrans (L.) Ker Gawl.","fragrant dracaena"
"DRAM","","Dracopis amplexicaulis (Vahl) Cass.","clasping coneflower"
"DRDR","","Dryas drummondii Richardson ex Hook.","Drummond's mountain-avens"
"DROC","","Dryas octopetala L.","eightpetal mountain-avens"
"DRCR4","","Dryopteris cristata (L.) A. Gray","crested woodfern"
"DUAR3","","Dulichium arundinaceum (L.) Britton","three-way sedge"
"ECPA","","Echinacea pallida (Nutt.) Nutt.","pale purple coneflower"
"ECPU","","Echinacea purpurea (L.) Moench","eastern purple coneflower"
"ECCO2","","Echinochloa colona (L.) Link","jungle rice"
"ECFR","","Echinochloa frumentacea Link","billion-dollar grass"
"ECWA","","Echinochloa walteri (Pursh) A. Heller","coast cockspur grass"
"ECPR","","Eclipta prostrata (L.) L.","false daisy"
"EHCA","","Ehrharta calycina Sm.","perennial veldtgrass"
"ELAN","","Elaeagnus angustifolia L.","Russian olive"
"ELCO","","Elaeagnus commutata Bernh. ex Rydb.","silverberry"
"ELUM","","Elaeagnus umbellata Thunb.","autumn olive"
"ELAC","","Eleocharis acicularis (L.) Roem. & Schult.","needle spikerush"
"ELCE","","Eleocharis cellulosa Torr.","Gulf Coast spikerush"
"ELCO2","","Eleocharis compressa Sull.","flatstem spikerush"
"ELEQ","","Eleocharis equisetoides (Elliott) Torr.","jointed spikesedge"
"ELOB2","","Eleocharis obtusa (Willd.) Schult.","blunt spikerush"
"ELOV","","Eleocharis ovata (Roth) Roem. & Schult.","ovate spikerush"
"ELPA3","","Eleocharis palustris (L.) Roem. & Schult.","common spikerush"
"ELPA5","","Eleocharis parvula (Roem. & Schult.) Link ex Bluff, Nees & Schauer","dwarf spikerush"
"ELQU","","Eleocharis quadrangulata (Michx.) Roem. & Schult.","squarestem spikerush"
"ELRO2","","Eleocharis rostellata (Torr.) Torr.","beaked spikerush"
"ELTE","","Eleocharis tenuis (Willd.) Schult.","slender spikerush"
"ELCA3","","Elephantopus carolinianus Raeusch.","Carolina elephantsfoot"
"ELPY","","Elliottia pyroliflora (Bong.) S.W. Brim & P.F. Stevens","copperbush"
"ELCA7","","Elodea canadensis Michx.","Canadian waterweed"
"ELCA4","","Elymus canadensis L.","Canada wildrye"
"ELEL5","","Elymus elymoides (Raf.) Swezey","squirreltail"
"ELGL","","Elymus glaucus Buckley","blue wildrye"
"ELLAL","","Elymus lanceolatus (Scribn. & J.G. Sm.) Gould ssp. lanceolatus ","thickspike wheatgrass"
"ELRE4","","Elymus repens (L.) Gould","quackgrass"
"ELRI","","Elymus riparius Wiegand","riverbank wildrye"
"ELSI","","Elymus sibiricus L.","Siberian wildrye"
"ELTR7","","Elymus trachycaulus (Link) Gould ex Shinners","slender wheatgrass"
"ELTRT","","Elymus trachycaulus (Link) Gould ex Shinners ssp. trachycaulus ","slender wheatgrass"
"ELVI3","","Elymus virginicus L.","Virginia wildrye"
"EMNI","","Empetrum nigrum L.","black crowberry"
"ENFA","","Encelia farinosa A. Gray ex Torr.","brittlebush"
"ENPE4","","Engelmannia peristenia (Raf.) Goodman & C.A. Lawson","Engelmann's daisy"
"EPNE","","Ephedra nevadensis S. Watson","Nevada jointfir"
"EPTO","","Ephedra torreyana S. Watson","Torrey's jointfir"
"EPTR","","Ephedra trifurca Torr. ex S. Watson","longleaf jointfir"
"EPVI","","Ephedra viridis Coville","mormon tea"
"EPCO","","Epilobium coloratum Biehler","purpleleaf willowherb"
"EPGL","","Epilobium glaberrimum Barbey","glaucus willowherb"
"EPLE2","","Epilobium leptophyllum Raf.","bog willowherb"
"EQAR","","Equisetum arvense L.","field horsetail"
"EQFL","","Equisetum fluviatile L.","water horsetail"
"EQLA","","Equisetum laevigatum A. Braun","smooth horsetail"
"EQSY","","Equisetum sylvaticum L.","woodland horsetail"
"ERCU2","","Eragrostis curvula (Schrad.) Nees","weeping lovegrass"
